"","...1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","rank","Y"
"49","si:ch73-266o15.4",20.7487942919398,-0.199080097288637,0.461908106732122,-0.430995027770948,0.66647198586758,0.867866652430079,"ENSDARG00000071548",-0.594242828046712,"100003659"
"50","slit2",554.445181041749,0.0167338617419523,0.119589483013408,0.139927536437934,0.888717244391237,0.962352766382669,"ENSDARG00000041802",1.11797615436246,"494129"
"51","lcorl",388.202177335966,-0.101668775390544,0.134191583588014,-0.757638986530487,0.44866713405394,0.733496602090625,"ENSDARG00000044626",-0.198525984278863,"334058"
"52","ncapg",12.371361590055,-0.585996077943065,0.63664263460785,-0.920447431711856,0.357338991799422,0.660599018456578,"ENSDARG00000015862",0.0290703908853001,"554960"
"53","fam184b",54.1326900205514,-0.0322898915491952,0.286712300452522,-0.112621228661036,0.910330854086785,0.96932952062618,"ENSDARG00000056531",-0.906052830370593,"555435"
"54","si:dkeyp-26a9.2",19.1235878813261,-0.795382991991189,0.510408506247284,-1.5583262862117,0.119155920796089,0.378217031581395,"ENSDARG00000059423",1.12732238471992,"100148927"
"55","gria2a",133.97733864546,-0.0423669446389189,0.22223922950526,-0.190636660922711,0.848810265635186,0.949376364850351,"ENSDARG00000077299",-0.836080402536662,"493615"
"56","tmem144a",25.3290160702704,0.270437054063313,0.398132197709311,0.679264464465061,0.496970308022909,0.770999878831378,"ENSDARG00000022177",1.69922499707879,"336923"
"57","med28",23.3014448968088,0.752663251833432,0.633936577536828,1.1872847829004,0.23511530833394,0.54046785036026,"ENSDARG00000075666",2.44767921141754,"562032"
"58","npy1r",32.9184959653022,0.590421085193862,0.357277636999884,1.6525553912406,0.0984213831599741,0.338267006864346,"ENSDARG00000002912",3.31849718999569,"566824"
"59","si:dkey-253i9.4",113.114369541615,-0.402741141044738,0.22004544514781,-1.83026347477544,0.0672105502878534,0.271696156244903,"ENSDARG00000091317",1.69992504544483,"100144560"
"60","cadps2",175.108664633665,-0.348868755149866,0.152525153773963,-2.28728669676923,0.0221790944679342,0.137856229208149,"ENSDARG00000054597",2.80860512440668,"553754"
"61","slc13a1",37.0930862177269,0.946689851412238,0.403390935492071,2.34682975773224,0.0189339036327636,0.124479045181195,"ENSDARG00000012942",4.966801120928,"252850"
"62","wasla",224.355473098762,0.123897231116017,0.380992012155824,0.32519640087715,0.745032432464435,0.905836130340686,"ENSDARG00000093781",1.29432752804082,"767664"
"63","erc1a",240.862825457239,0.0423469381352513,0.142812918044841,0.296520361848185,0.766832719270183,0.914648339941834,"ENSDARG00000035471",1.2654865988329,"445200"
"64","wnk1a",2573.85612608331,-0.0612660189525335,0.103948485495137,-0.589388278825856,0.55560083752246,0.806419453559077,"ENSDARG00000074166",-0.412294839316749,"553401"
"65","rad52",25.5997765074903,-0.107507431026582,0.381572814857251,-0.281748140435007,0.778136638420539,0.919620586663165,"ENSDARG00000063677",-0.749146857565396,"797343"
"66","prr5a",346.110171570037,0.38133851073386,0.188923700660872,2.01847893832221,0.0435414055066554,0.210931363638054,"ENSDARG00000076748",4.13404294288243,"100359398"
"67","fbxl14a",36.4610314745652,0.076623470654378,0.325949032509842,0.235078073600554,0.814148136610709,0.934356902603365,"ENSDARG00000103498",1.2056129435288,"751702"
"68","gnaia",102.646322714616,-0.287248887512829,0.202474692954208,-1.41869032283355,0.155989319743444,0.440297121265535,"ENSDARG00000057863",0.857967737259361,"550576"
"69","LOC110439256",31.1501552855367,-0.250019487716113,0.329604420769392,-0.758544096989035,0.448125324680589,0.732990718407073,"ENSDARG00000013110",-0.197317656902786,"793819"
"70","nav2b",118.983096995095,0.348196292648713,0.196636576517945,1.77076055134095,0.076600528489548,0.293668267913369,"ENSDARG00000021590",3.56915130291803,"558727"
"71","prmt7",18.353065020958,-0.741929923475983,0.452235104580133,-1.64058454543198,0.100883685227174,0.343765703833015,"ENSDARG00000033950",1.29378705719202,"393220"
"72","shank2",140.00171440367,0.226923733139969,0.157769362017516,1.43832573218351,0.150341654053187,0.430631831306802,"ENSDARG00000057869",2.89484488121014,"563654"
"73","metrn",74.1739711904083,0.0519644916507278,0.224276805103812,0.231698019894098,0.816772569435426,0.93491115757338,"ENSDARG00000075853",1.20239459565909,"559900"
"74","ccdc78",77.7939314532932,-0.661196973635351,0.262227797533547,-2.52146027177292,0.0116868871617194,0.0912652312594919,"ENSDARG00000070787",3.44928782110302,"562945"
"75","ift140",36.0128007549821,-0.349681103355914,0.336917145857125,-1.03788455902509,0.299323803057499,0.609822361429144,"ENSDARG00000058503",0.206229338192876,"436929"
"76","tmem204",63.4100370739865,-0.335707389721621,0.22791751919673,-1.47293367751976,0.140768920055085,0.415122849190447,"ENSDARG00000090106",0.960635597869602,"100034520"
